FNAME	FID
20161208014858958+-+01+-+1+-+2+-+297347+-+YEP0PTD000SH|00|A|101634202001|01+-+3+-++-+YEP0PTD000SH|00|A|101634202001|01.U01	141
20161208014945345+-+01+-+1+-+2+-+297351+-+YEP0PTD000SH|00|A|101634201999|01+-+3+-++-+YEP0PTD000SH|00|A|101634201999|01.U01	143
20161208020644294+-+01+-+1+-+1+-+297441+-+YEP0PTD000SH|00|A|101634201932|01+-+3+-++-+YEP0PTD000SH|00|A|101634201932|01.U01	192
20161208015006679+-+01+-+1+-+1+-+297353+-+YEP0PTD000SH|00|A|101634201998|01+-+3+-++-+YEP0PTD000SH|00|A|101634201998|01.U01	144
20161208015305571+-+01+-+1+-+1+-+297369+-+YEP0PTD000SH|00|A|101634201944|01+-+3+-++-+YEP0PTD000SH|00|A|101634201944|01.U01	154
20161208015026494+-+01+-+1+-+2+-+297355+-+YEP0PTD000SH|00|A|101634201997|01+-+3+-++-+YEP0PTD000SH|00|A|101634201997|01.U01	145
20161208015812618+-+01+-+1+-+2+-+297399+-+YEP0PTD000SH|00|A|101634201960|01+-+3+-++-+YEP0PTD000SH|00|A|101634201960|01.U01	169
20161208015853309+-+01+-+1+-+2+-+297403+-+YEP0PTD000SH|00|A|101634201962|01+-+3+-++-+YEP0PTD000SH|00|A|101634201962|01.U01	171
20161208015147859+-+01+-+1+-+2+-+297363+-+YEP0PTD000SH|00|A|101634201941|01+-+3+-++-+YEP0PTD000SH|00|A|101634201941|01.U01	149
20161208014220350+-+01+-+1+-+2+-+297311+-+YEP0PTD000SH|00|A|101634201889|01+-+3+-++-+YEP0PTD000SH|00|A|101634201889|01.U01	123
20161208014200648+-+01+-+1+-+1+-+297309+-+YEP0PTD000SH|00|A|101634201890|01+-+3+-++-+YEP0PTD000SH|00|A|101634201890|01.U01	122
20161208015833597+-+01+-+1+-+1+-+297401+-+YEP0PTD000SH|00|A|101634201961|01+-+3+-++-+YEP0PTD000SH|00|A|101634201961|01.U01	170
20161208013935076+-+01+-+1+-+2+-+297295+-+YEP0PTD000SH|00|A|101634201899|01+-+3+-++-+YEP0PTD000SH|00|A|101634201899|01.U01	115
20161208020237016+-+01+-+1+-+1+-+297417+-+YEP0PTD000SH|00|A|101634201920|01+-+3+-++-+YEP0PTD000SH|00|A|101634201920|01.U01	178
20161208014807310+-+01+-+1+-+2+-+297343+-+YEP0PTD000SH|00|A|101634202003|01+-+3+-++-+YEP0PTD000SH|00|A|101634202003|01.U01	139
20161208014422431+-+01+-+1+-+1+-+297321+-+YEP0PTD000SH|00|A|101634202014|01+-+3+-++-+YEP0PTD000SH|00|A|101634202014|01.U01	128
20161208020907212+-+01+-+1+-+2+-+297455+-+YEP0PTD000SH|00|A|101634201842|01+-+3+-++-+YEP0PTD000SH|00|A|101634201842|01.U01	199
20161208015731996+-+01+-+1+-+2+-+297395+-+YEP0PTD000SH|00|A|101634201958|01+-+3+-++-+YEP0PTD000SH|00|A|101634201958|01.U01	167
20161208020350199+-+01+-+1+-+1+-+297425+-+YEP0PTD000SH|00|A|101634201924|01+-+5+-++-+YEP0PTD000SH|00|A|101634201924|01.U01	182
20161208020501760+-+01+-+1+-+2+-+297431+-+YEP0PTD000SH|00|A|101634201927|01+-+3+-++-+YEP0PTD000SH|00|A|101634201927|01.U01	187
20161208020441924+-+01+-+1+-+1+-+297429+-+YEP0PTD000SH|00|A|101634201926|01+-+3+-++-+YEP0PTD000SH|00|A|101634201926|01.U01	186
20161208020725117+-+01+-+1+-+1+-+297445+-+YEP0PTD000SH|00|A|101634201934|01+-+3+-++-+YEP0PTD000SH|00|A|101634201934|01.U01	194
20161208015107166+-+01+-+1+-+2+-+297359+-+YEP0PTD000SH|00|A|101634201995|01+-+3+-++-+YEP0PTD000SH|00|A|101634201995|01.U01	147
20161208020847408+-+01+-+1+-+1+-+297453+-+YEP0PTD000SH|00|A|101634201841|01+-+3+-++-+YEP0PTD000SH|00|A|101634201841|01.U01	198
20161208014503231+-+01+-+1+-+1+-+297325+-+YEP0PTD000SH|00|A|101634202012|01+-+3+-++-+YEP0PTD000SH|00|A|101634202012|01.U01	130
20161208020131449+-+01+-+1+-+2+-+297411+-+YEP0PTD000SH|00|A|101634201917|01+-+3+-++-+YEP0PTD000SH|00|A|101634201917|01.U01	175
20161208020420685+-+01+-+1+-+2+-+297427+-+YEP0PTD000SH|00|A|101634201925|01+-+3+-++-+YEP0PTD000SH|00|A|101634201925|01.U01	185
20161208020623357+-+01+-+1+-+2+-+297439+-+YEP0PTD000SH|00|A|101634201931|01+-+3+-++-+YEP0PTD000SH|00|A|101634201931|01.U01	191
20161208014603946+-+01+-+1+-+2+-+297331+-+YEP0PTD000SH|00|A|101634202009|01+-+3+-++-+YEP0PTD000SH|00|A|101634202009|01.U01	133
20161208020256828+-+01+-+1+-+2+-+297419+-+YEP0PTD000SH|00|A|101634201921|01+-+3+-++-+YEP0PTD000SH|00|A|101634201921|01.U01	179
20161208020522728+-+01+-+1+-+1+-+297433+-+YEP0PTD000SH|00|A|101634201928|01+-+3+-++-+YEP0PTD000SH|00|A|101634201928|01.U01	188
20161208020928128+-+01+-+1+-+1+-+297457+-+YEP0PTD000SH|00|A|101634201843|01+-+3+-++-+YEP0PTD000SH|00|A|101634201843|01.U01	200
20161208014016851+-+01+-+1+-+2+-+297299+-+YEP0PTD000SH|00|A|101634201896|01+-+3+-++-+YEP0PTD000SH|00|A|101634201896|01.U01	117
20161208013623213+-+01+-+1+-+1+-+297277+-+YEP0PTD000SH|00|A|101634201908|01+-+5+-++-+YEP0PTD000SH|00|A|101634201908|01.U01	104
20161208014037907+-+01+-+1+-+1+-+297301+-+YEP0PTD000SH|00|A|101634201894|01+-+3+-++-+YEP0PTD000SH|00|A|101634201894|01.U01	118
20161208013631659+-+01+-+1+-+1+-+297277+-+YEP0PTD000SH|00|A|101634201908|01+-+3+-++-+YEP0PTD000SH|00|A|101634201908|01.U01	105
20161208015651290+-+01+-+1+-+2+-+297391+-+YEP0PTD000SH|00|A|101634201956|01+-+3+-++-+YEP0PTD000SH|00|A|101634201956|01.U01	165
20161208014925521+-+01+-+1+-+1+-+297349+-+YEP0PTD000SH|00|A|101634202000|01+-+3+-++-+YEP0PTD000SH|00|A|101634202000|01.U01	142
20161208014322367+-+01+-+1+-+1+-+297317+-+YEP0PTD000SH|00|A|101634201937|01+-+3+-++-+YEP0PTD000SH|00|A|101634201937|01.U01	126
